ID,SYMBOL,NAME,EXCHANGE
28933,SBUX,Starbucks Corp,Nasdaq Global Select
28934,EWU,iShares MSCI United Kingdom,NYSE Arca
28935,PE,Parsley Energy Inc,New York Stock Exchange
28936,LVS,Las Vegas Sands Corp,New York Stock Exchange
28937,EGO,Eldorado Gold Corp,New York Stock Exchange
28938,GSK,GlaxoSmithKline PLC,New York Stock Exchange
28939,TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,New York Stock Exchange
28940,PAA,Plains All American Pipeline LP,New York Stock Exchange
28941,SQQQ,ProShares UltraPro Short QQQ,NASDAQ Global Market
28942,VLO,Valero Energy Corp,New York Stock Exchange
28944,IMAX,Imax Corp,New York Stock Exchange
28945,FNB,F.N.B. Corp,New York Stock Exchange
28946,ADSK,Autodesk Inc,Nasdaq Global Select
28947,HD,Home Depot Inc,New York Stock Exchange
28948,BIDU,Baidu Inc,Nasdaq Global Select
28949,AR,Antero Resources Corp,New York Stock Exchange
28950,ARNC,Arconic Corp (PITTSBURGH),New York Stock Exchange
28951,VOYA,Voya Financial Inc,New York Stock Exchange
28952,SPXU,ProShares UltraPro Short S&P500,NYSE Arca
28953,MLCO,Melco Resorts & Entertainment Ltd,Nasdaq Global Select
28954,SJNK,SPDR Bloomberg Barclays Short Term High Yield Bond,NYSE Arca
28955,CWB,SPDR Bloomberg Barclays Convertible Securities,NYSE Arca
28956,SM,SM Energy Co,New York Stock Exchange
28957,NTRS,Northern Trust Corp,Nasdaq Global Select
28958,DHI,D.R. Horton Inc,New York Stock Exchange
28959,UAL,United Airlines Holdings Inc,New York Stock Exchange
28960,HRB,H & R Block Inc,New York Stock Exchange
28961,BTU,Peabody Energy Corp,New York Stock Exchange
28962,JBGS,JBG SMITH Properties,New York Stock Exchange
28963,IPG,Interpublic Group of Companies Inc,New York Stock Exchange
28964,DE,Deere & Co,New York Stock Exchange
28965,KHC,Kraft Heinz Co,Nasdaq Global Select
28966,COG,Cabot Oil & Gas Corp,New York Stock Exchange
28967,IBM,International Business Machines Corp,New York Stock Exchange
28969,NYT,New York Times Co,New York Stock Exchange
28970,DBJP,Xtrackers MSCI Japan Hedged Equity,NYSE Arca
28971,AAL,American Airlines Group Inc,Nasdaq Global Select
28972,OLN,Olin Corp,New York Stock Exchange
28973,JCI,Johnson Controls International PLC,New York Stock Exchange
28974,VICI,VICI Properties Inc,New York Stock Exchange
28975,VST,Vistra Corp,New York Stock Exchange
28976,NWL,Newell Brands Inc,New York Stock Exchange
28977,EPD,Enterprise Products Partners LP,New York Stock Exchange
28978,KMB,Kimberly-Clark Corp,New York Stock Exchange
28979,AEP,American Electric Power Company Inc,New York Stock Exchange
28980,IT,Gartner Inc,New York Stock Exchange
28981,CAT,Caterpillar Inc,New York Stock Exchange
28983,MYL,Mylan NV,Nasdaq Global Select
28984,XRAY,DENTSPLY SIRONA Inc,Nasdaq Global Select
28985,KKR,KKR & Co Inc,New York Stock Exchange
28986,IEUR,iShares Core MSCI Europe,NYSE Arca
28987,LQD,iShares iBoxx $ Investment Grade Corporate Bond,NYSE Arca
28988,CMC,Commercial Metals Co,New York Stock Exchange
28989,JCP,J.C. Penney Company Inc. Holding Company,New York Stock Exchange
28990,XBI,SPDR Series Trust S&P Biotech,NYSE Arca
28991,SYMC,Symantec Corporation,Nasdaq Global Select
28992,TMUS,T-Mobile US Inc,Nasdaq Global Select
28993,EWW,iShares Inc MSCI Mexico,NYSE Arca
28995,NRG,NRG Energy Inc,New York Stock Exchange
28996,CPB,Campbell Soup Co,New York Stock Exchange
28997,ATHM,Autohome Inc,New York Stock Exchange
28998,WRB,W. R. Berkley Corp,New York Stock Exchange
28999,MOMO,Momo Inc,Nasdaq Global Select
29000,TGT,Target Corp,New York Stock Exchange
29001,TV,Grupo Televisa S.A.,New York Stock Exchange
29002,GLW,Corning Inc,New York Stock Exchange
29003,MAS,Masco Corp,New York Stock Exchange
29004,DOV,Dover Corp,New York Stock Exchange
29005,HRL,Hormel Foods Corp,New York Stock Exchange
29007,TECK,Teck Resources Ltd,New York Stock Exchange
29008,AES,AES Corp,New York Stock Exchange
29009,PPL,PPL Corp,New York Stock Exchange
29010,IXUS,iShares Core MSCI Total International Stock ETF,NASDAQ Global Market
29011,SEE,Sealed Air Corp,New York Stock Exchange
29012,NLY,Annaly Capital Management Inc,New York Stock Exchange
29013,FRC,First Republic Bank,New York Stock Exchange
29014,EWT,iShares Inc MSCI Taiwan,NYSE Arca
29015,STX,Seagate Technology PLC,Nasdaq Global Select
29016,ADBE,Adobe Inc,Nasdaq Global Select
29017,K,Kellogg Co,New York Stock Exchange
29018,RTN,Raytheon Company,New York Stock Exchange
29019,M,Macy's Inc,New York Stock Exchange
29020,TSLA,Tesla Inc,Nasdaq Global Select
29021,CY,Cypress Semiconductor Corporation,Nasdaq Global Select
29022,KBE,SPDR S&P Bank,NYSE Arca
29023,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,New York Stock Exchange
29024,STL,Sterling Bancorp,New York Stock Exchange
29025,NYCB,New York Community Bancorp Inc,New York Stock Exchange
29026,TRQ,Turquoise Hill Resources Ltd,New York Stock Exchange
29027,NBL,Noble Energy Inc,New York Stock Exchange
29029,BAH,Booz Allen Hamilton Holding Corp,New York Stock Exchange
29031,ARI,Apollo Commercial Real Estate Finance Inc,New York Stock Exchange
29032,MET,MetLife Inc,New York Stock Exchange
29033,AFL,Aflac Inc,New York Stock Exchange
29034,TPR,Tapestry Inc,New York Stock Exchange
29035,WPM,Wheaton Precious Metals Corp,New York Stock Exchange
29036,LNT,Alliant Energy Corp,New York Stock Exchange
29037,BTG,B2Gold Corp,NYSE American
29038,UTX,United Technologies Corporation,New York Stock Exchange
29039,WLL,Whiting Petroleum Corp,New York Stock Exchange
29040,LKQ,LKQ Corp,Nasdaq Global Select
29041,PCG,PG&E Corp,New York Stock Exchange
29042,CRZO,Carrizo Oil & Gas Inc.,Nasdaq Global Select
29043,CENX,Century Aluminum Co,Nasdaq Global Select
29044,PGNX,Progenics Pharmaceuticals Inc.,Nasdaq Global Select
29045,CLR,Continental Resources Inc,New York Stock Exchange
29046,FCAU,Fiat Chrysler Automobiles NV,New York Stock Exchange
29047,IMGN,ImmunoGen Inc,Nasdaq Global Select
29048,HL,Hecla Mining Co,New York Stock Exchange
29049,LULU,Lululemon Athletica Inc,Nasdaq Global Select
29050,UAA,Under Armour Inc,New York Stock Exchange
29051,CAG,Conagra Brands Inc,New York Stock Exchange
29052,STLD,Steel Dynamics Inc,Nasdaq Global Select
29053,PEP,PepsiCo Inc,Nasdaq Global Select
29054,SO,Southern Co,New York Stock Exchange
29056,COST,Costco Wholesale Corp,Nasdaq Global Select
29057,GKOS,Glaukos Corp,New York Stock Exchange
29058,CCI,Crown Castle International Corp,New York Stock Exchange
29059,ZTO,ZTO Express (Cayman) Inc,New York Stock Exchange
29060,VGK,Vanguard FTSEEuropean,NYSE Arca
29061,GS,Goldman Sachs Group Inc,New York Stock Exchange
29062,IJR,iShares Core S&P Small-Cap,NYSE Arca
29063,ZAYO,Zayo Group Holdings Inc.,New York Stock Exchange
29064,ADT,ADT Inc,New York Stock Exchange
29065,ALTR,Altair Engineering Inc,Nasdaq Global Select
29067,EMR,Emerson Electric Co,New York Stock Exchange
29068,CNP,CenterPoint Energy Inc,New York Stock Exchange
29069,ALXN,Alexion Pharmaceuticals Inc,Nasdaq Global Select
29070,COTY,Coty Inc,New York Stock Exchange
29071,MA,Mastercard Inc,New York Stock Exchange
29072,AWI,Armstrong World Industries Inc,New York Stock Exchange
29073,IYR,iShares U.S. Real Estate,NYSE Arca
29074,ADP,Automatic Data Processing Inc,Nasdaq Global Select
29075,TZA,Direxion Small Cap Bear 3X Shares,NYSE Arca
29077,BBVA,Banco Bilbao Vizcaya Argentaria S.A.,New York Stock Exchange
29078,MNST,Monster Beverage Corp,Nasdaq Global Select
29079,FEZ,SPDR DJ Euro STOXX 50 Etf,NYSE Arca
29080,AER,AerCap Holdings NV,New York Stock Exchange
29081,GTN,Gray Television Inc,New York Stock Exchange
29082,EWY,iShares Inc MSCI South Korea,NYSE Arca
29083,CDE,Coeur Mining Inc,New York Stock Exchange
29084,NCR,NCR Corp,New York Stock Exchange
29085,AMT,American Tower Corp,New York Stock Exchange
29086,PSTG,Pure Storage Inc,New York Stock Exchange
29088,SJM,J M Smucker Co,New York Stock Exchange
29089,ETN,Eaton Corporation PLC,New York Stock Exchange
29090,DUK,Duke Energy Corp,New York Stock Exchange
29091,CL,Colgate-Palmolive Co,New York Stock Exchange
29092,IDRA,Idera Pharmaceuticals Inc,NASDAQ Capital Market
29093,KAR,KAR Auction Services Inc,New York Stock Exchange
29094,NEE,Nextera Energy Inc,New York Stock Exchange
29095,PXD,Pioneer Natural Resources Co,New York Stock Exchange
29096,WPX,WPX Energy Inc,New York Stock Exchange
29097,ADM,Archer-Daniels-Midland Co,New York Stock Exchange
29098,VTR,Ventas Inc,New York Stock Exchange
29099,VMW,VMware Inc,New York Stock Exchange
29100,RIGL,Rigel Pharmaceuticals Inc,Nasdaq Global Select
29101,DKS,Dick's Sporting Goods Inc,New York Stock Exchange
29102,FG,FGL Holdings,New York Stock Exchange
29103,WTI,W&T Offshore Inc,New York Stock Exchange
29104,LRCX,Lam Research Corp,Nasdaq Global Select
29105,NXPI,NXP Semiconductors NV,Nasdaq Global Select
29106,CE,Celanese Corp,New York Stock Exchange
29107,HUN,Huntsman Corp,New York Stock Exchange
29108,CSTM,Constellium SE,New York Stock Exchange
29109,VER,VEREIT Inc,New York Stock Exchange
29110,GPK,Graphic Packaging Holding Co,New York Stock Exchange
29111,WELL,Welltower Inc,New York Stock Exchange
29112,TJX,TJX Companies Inc,New York Stock Exchange
29113,PLD,Prologis Inc,New York Stock Exchange
29114,KSS,Kohls Corp,New York Stock Exchange
29115,XEC,Cimarex Energy Co,New York Stock Exchange
29116,TLT,iShares 20+ Year Treasury Bond ETF,NASDAQ Global Market
29117,DRI,Darden Restaurants Inc,New York Stock Exchange
29119,ENDP,Endo International PLC,Nasdaq Global Select
29120,ATI,Allegheny Technologies Inc,New York Stock Exchange
